,Question,Answer,Level,Category,Type,Type,Answer Description
,Which of the following is not a defining quality of a bond?,A,E,Theory,Single Choice,Investment Banking,
,Dividend Yield,,,,,,
,Coupon Payment Frequency,,,,,,
,Maturity,,,,,,
,Face Value,,,,,,
,,,,,,,
,"What is the value of a 6%, five year bond with annual coupons and face value equal to £1,000, if the current yield to maturity is 6%?",D,M,Numerical,Single Choice,Investment Banking,
,"£1,089",,,,,,
,£920,,,,,,
,"£1,200",,,,,,
,"£1,000",,,,,,
,,,,,,,
,As which type of cash flow is an equity share usually valued?,C,M,Theory,Single Choice,Investment Banking,
,An annuity cash flow.,,,,,,
,A risk-free cash flow,,,,,,
,A perpetuity cash flow.,,,,,,
,An erratic cash flow.,,,,,,
,,,,,,,
,"In the context of imperfect and asymmetric information, how does the stock market react to the signal of a cut in dividend by a company?",D,H,Theory,Single Choice,Investment Banking,
,"The market sells, share price is lowered.",,,,,,
,"The market buys, share price is raised.",,,,,,
,"The market does not react, price remains the same.",,,,,,
,None of the above. It depends on how the information is interpreted.,,,,,,
,,,,,,,
,Which of the following is not a fundamental assumption made by Modigliani and Miller?,B,E,Theory,Single Choice,Investment Banking,
,No taxes.,,,,,,
,There is imperfect information,,,,,,
,Firms can be classified into distinct risk classes.,,,,,,
,Possible to borrow and lend at the risk-free rate.,,,,,,
,,,,,,,
,"In a simple perfect capital market, what happens if dividends are brought forward?",D,M,Theory,Single Choice,Investment Banking,
,Share price goes up.,,,,,,
,It is impossible to know.,,,,,,
,Share price goes down.,,,,,,
,Share price remains the same.,,,,,,
,,,,,,,
,"In a simple perfect capital market, what happens if dividends are delayed?",D,M,Theory,Single Choice,Investment Banking,
,Share price goes up.,,,,,,
,It is impossible to know.,,,,,,
,Share price goes down.,,,,,,
,Share price remains the same.,,,,,,
,,,,,,,
,Which of these is an appropriate measure of individual share risk (i.e. the risk of a single share held as part of a portfolio)?,B,E,Theory,Single Choice,Investment Banking,
,Variance.,,,,,,
,Beta.,,,,,,
,Standard deviation.,,,,,,
,Correlation.,,,,,,
,,,,,,,
,"If an asset has zero beta, then it can be described in which of the following ways?",B,E,Theory,Single Choice,Investment Banking,
,It is very risky.,,,,,,
,It is risk free,,,,,,
,It is riskier than the market portfolio.,,,,,,
,It has the same risk as the market portfolio,,,,,,
,,,,,,,
,"The earnings, dividends and stock price of ARM, Inc. are expected to grow by 7% per year in the future. ARM’s current stock price is $23 and it last dividend was $2. Using DCF, what is its current cost of equity?",B,M,Numerical,Single Choice,Investment Banking,
,16.30%,,,,,,
,16.30%,,,,,,
,16.30%,,,,,,
,16.30%,,,,,,
,,,,,,,
,Suppose we plan to buy crude oil in one month to produce gasoline and heating oil for sale in 2 months. The one month futures price for crude is currently Rs 55/barrel. The two-month futures price for crude oil and heating oil are Rs 61.50/barrel and Rs 58.50/barrel respectively. Which is closest to the 5-3-2 crack(commodity) spread?,B,H,Numerical,Single Choice,Investment Banking,
,Rs 4.70/barrel,,,,,,
,Rs 5.30/barrel,,,,,,
,Rs 23.50/barrel,,,,,,
,Rs 26.50/barrel,,,,,,
,,,,,,,
,"For the past 4 years, the return on a portfolio were 6%,9%,4% and 12%. The corresponding return on the benchmark were 7%,10%, 4% and 14%. The risk-free rate of return is 7%, and the mean squared deviation from the minimum return is 2.5. The Sortino ratio is closest to: -",B,M,Numerical,Single Choice,Investment Banking,
,0.3,,,,,,
,0.4743,,,,,,
,0.7,,,,,,
,1.1068,,,,,,
,,,,,,,
,"A company has a capital budget of $1.2 mil. The company wants to maintain its target capital structure as 3:2(D: E). Net income this year is forecasted to be $600,000. What will be POR if company follows a residual distribution model?",B,M,Numerical,Single Choice,Investment Banking,
,22%,,,,,,
,20%,,,,,,
,21%,,,,,,
,12%,,,,,,
,,,,,,,
,"EJ Electric declared a 3-for-1 stock split last year, and this year its dividend is $1.5 per share. The total dividend payout represents a 6% jump over the previous year(pre-split). What was last year’s dps?",B,M,Numerical,Single Choice,Investment Banking,
,$4.25,,,,,,
,$4.25,,,,,,
,$4.24,,,,,,
,$4.24,,,,,,
,,,,,,,
,"An economist for a large investment firm is concerned about the no of parameters that are used for forecasting. She decides to choose the best method by applying a penalty factor, which of the following model selection measures creates the largest penalty factor when the ratio of no of parameters to the sample size increases?",D,H,Logical,Single Choice,Investment Banking,
,Mean Square Error,,,,,,
,Unbiased Mean Square Error,,,,,,
,Akaike information criterion,,,,,,
,Schwarz information criterion,,,,,,
,,,,,,,
,"One of the objectives of stress testing is to prevent or minimize financial losses within a bank. In that regard and based on the outcome of the recent financial crisis, which of the following statements would least likely promote the success of stress testing from a risk governance perspective?",D,H,Theory,Single Choice,Investment Banking,
,Stress tests that identify correlated exposures across the bank,,,,,,
,Sufficient investment in IT to develop stress testing scenario,,,,,,
,Involvement of the board members and senior management in the stress testing process,,,,,,
,Detailed stress testing done by separate units concentrating on a risk function or business line.,,,,,,
,,,,,,,
,When is share repurchasing through buyback a good option for a company? (Mark all those are correct),A,E,Theory,Single Choice,Investment Banking,
,There is excess cash in the balance sheet,,,,,,
,There is a scope of high future growth,,,,,,
,Taxes on dividends have fallen,,,,,,
,Company wants to keep its capital structure stable,,,,,,
,,,,,,,
,Which is the correct order of claims held against the company?,A,E,Theory,Single Choice,Investment Banking,
,Bondholders>Preferred Shareholders>Common Shareholders,,,,,,
,Common Shareholders>Bondholders>Preferred Shareholders,,,,,,
,Preferred Shareholders>Bondholders>Common Shareholders,,,,,,
,Bondholders>Common Shareholders>Preferred Shareholders,,,,,,
,,,,,,,
,When does new equity share issue for a publicly traded stock of a company make sense? (Mark all correct answers),B :C,E,Theory,Multiple Choice,Investment Banking,
,When the stock is undervalued.,,,,,,
,When the stock is overvalued.,,,,,,
,When P/B value is lower than expected,,,,,,
,When P/B value is much higher than expected,,,,,,
,,,,,,,
,Which of the following is the largest Asset management firm(according to AUM)?,A,E,GK,Single Choice,Investment Banking,
,Blackrock,,,,,,
,Fidelity Investments,,,,,,
,UBS,,,,,,
,Vanguard Group,,,,,,
,,,,,,,
,________ evaluate issuer credit-worthiness and macroeconomic prospects to determine which bonds and notes to buy or sell to preserve capital while obtaining a fair rate of return.,A,E,Theory,Single Choice,Investment Banking,
,Fixed income analyst,,,,,,
,Stock Analyst,,,,,,
,Corporate treasurers,,,,,,
,Risk Managers,,,,,,
,,,,,,,
,"________ analyze exchange rates, interest rates, and credit conditions to determine which currencies to trade and which notes to buy or sell to have funds available in a needed currency.",C,E,Theory,Single Choice,Investment Banking,
,Fixed income analyst,,,,,,
,Stock Analyst,,,,,,
,Corporate treasurers,,,,,,
,Risk Managers,,,,,,
,,,,,,,
,"___________ analyze exchange rates, interest rates, and credit conditions to determine which currencies to trade and which notes to buy or sell to have funds available in a needed currency.",D,E,Theory,Single Choice,Investment Banking,
,Fixed income analyst,,,,,,
,Stock Analyst,,,,,,
,Corporate treasurers,,,,,,
,Risk Managers,,,,,,
,,,,,,,
,______________ study corporate values to determine which stocks to buy or sell to maximize the value of their stock portfolios.,B,E,Theory,Single Choice,Investment Banking,
,Fixed income analyst,,,,,,
,Stock Analyst,,,,,,
,Corporate treasurers,,,,,,
,Risk Managers,,,,,,
,,,,,,,
,"When savers commit money to earn a financial return, they commonly are called _________",D,E,Theory,Single Choice,Investment Banking,
,Buyers,,,,,,
,Owners,,,,,,
,Risk Managers,,,,,,
,Investors,,,,,,
,,,,,,,
,"If you need to raise cash within few months to pay for a project, what are primary options available to you?",C,E,Theory,Single Choice,Investment Banking,
,To borrow the funds,,,,,,
,Sell ownership interests,,,,,,
,both a and b,,,,,,
,none of the above,,,,,,
,,,,,,,
,A ____________ binds the farmer to sell a specified quantity of grain to the food processor at a future date at a mutually agreed upon price.,B,E,Theory,Single Choice,Investment Banking,
,Option Contract,,,,,,
,Future Contract,,,,,,
,Insurance contract,,,,,,
,None of the above,,,,,,
,,,,,,,
,__________ trade to profit from information that they believe allows them to predict future prices.,C,M,Theory,Single Choice,Investment Banking,
,Investors,,,,,,
,Spot Market traders,,,,,,
,Information- Motivated traders,,,,,,
,none of the above,,,,,,
,,,,,,,
,"__________ trade one currency for another currency, or money for a needed commodity or right.",B,E,Theory,Single Choice,Investment Banking,
,Investors,,,,,,
,Spot Market traders,,,,,,
,Information- Motivated traders,,,,,,
,none of the above,,,,,,
,,,,,,,
,The aggregate amount of money that savers will move from the present to the future is related to the ____________ of their investments.,B,E,Theory,Single Choice,Investment Banking,
,money spent,,,,,,
,expected rate of return,,,,,,
,present value,,,,,,
,none of the above,,,,,,
,,,,,,,
,The aggregate amount of money that borrowers and equity sellers will move from the future to the present depends on the ___________,C,E,Theory,Single Choice,Investment Banking,
,expected rate of return,,,,,,
,earnings,,,,,,
,cost of borrowings,,,,,,
,none of the above,,,,,,
,,,,,,,
,If investors have poor information and overestimate the value of a project in which its true value is ___________ a wealth-diminishing project may be undertaken.,B,E,Theory,Single Choice,Investment Banking,
,greater than its cost,,E,,,,
,lower than its cost,,,,,,
,equal to its cost,,,,,,
,both a and c,,,,,,
,,,,,,,
,If investors have poor information and underestimate the value of a project in which its true value is ____________ a wealth-enhancing project may not be undertaken.,A,E,Theory,Single Choice,Investment Banking,
,greater than its cost,,,,,,
,lower than its cost,,,,,,
,equal to its cost,,,,,,
,both b and c,,,,,,
,,,,,,,
,_______________ are monies issued by national monetary authorities,B,E,GK,Single Choice,Investment Banking,
,Commodities,,,,,,
,Currencies,,,,,,
,Securities,,,,,,
,Contracts,,,,,,
,,,,,,,
,"_____________ generally include debt instruments, equities, and shares in pooled investment vehicles.",C,E,Theory,Single Choice,Investment Banking,
,Commodities,,,,,,
,Currencies,,,,,,
,Securities,,,,,,
,Contracts,,,,,,
,,,,,,,
,"___________ include precious metals, energy products, industrial metals, and agricultural products. Real assets are tangible properties such as real estate, airplanes, or machinery.",A,E,Theory,Single Choice,Investment Banking,
,Commodities,,,,,,
,Currencies,,,,,,
,Securities,,,,,,
,Contracts,,,,,,
,,,,,,,
,"_____________ are agreements to exchange securities, currencies, commodities or other contracts in the future.",D,E,Theory,Single Choice,Investment Banking,
,Commodities,,,,,,
,Currencies,,,,,,
,Securities,,,,,,
,Contracts,,,,,,
,,,,,,,
,__________ are classified as financial assets.,D,E,Theory,Single Choice,Investment Banking,
,Commodities,,,,,,
,Currencies,,,,,,
,Securities,,,,,,
,b and c only,,,,,,
,,,,,,,
,_________ are classified as debt or equity.,C,E,Theory,Single Choice,Investment Banking,
,Commodities,,,,,,
,Currencies,,,,,,
,Securities,,,,,,
,Contracts,,,,,,
,,,,,,,
,Contracts are __________ if their values depend on the prices of other underlying assets.,C,E,Theory,Single Choice,Investment Banking,
,Option contracts,,,,,,
,Insurance contracts,,,,,,
,Derivative contracts,,,,,,
,none of the above,,,,,,
,,,,,,,
,___________ are contracts whose values depend on equities or indices of equities.,A,E,Theory,Single Choice,Investment Banking,
,Equity derivatives,,,,,,
,Alternative investment Securities,,,,,,
,Fixed Income derivatives,,,,,,
,none of the above,,,,,,
,,,,,,,
,__________ are contracts whose values depend on debt securities or indices of debt securities.,C,E,Theory,Single Choice,Investment Banking,
,Equity derivatives,,,,,,
,Alternative investment Securities,,,,,,
,Fixed Income derivatives,,,,,,
,none of the above,,,,,,
,,,,,,,
,"____________ trade instruments of longer duration, such as bonds and equities, whose values depend on the credit-worthiness of the issuers and on payments of interest or dividends that will be made in the future and may be uncertain.",D,E,Theory,Single Choice,Investment Banking,
,Traditional Investment markets,,,,,,
,Alternative Investment Markets,,,,,,
,Money Markets,,,,,,
,Capital Markets,,,,,,
,,,,,,,
,___________ include all publicly traded debts and equities and shares in pooled investment vehicles that hold publicly traded debts and/or equities.,A,E,Theory,Single Choice,Investment Banking,
,Traditional Investment markets,,,,,,
,Alternative Investment Markets,,,,,,
,Money Markets,,,,,,
,Capital Markets,,,,,,
,,,,,,,
,"___________ include hedge funds, private equities (including venture capital), commodities, real estate securities and real estate properties, securitized debts, operating leases, machinery, collectibles, and precious gems.",B,E,Theory,Single Choice,Investment Banking,
,Traditional Investment markets,,,,,,
,Alternative Investment Markets,,,,,,
,Money Markets,,,,,,
,Capital Markets,,,,,,
,,,,,,,
,Repurchase agreements (repos) are ___________ lending instruments.,A,E,Theory,Single Choice,Investment Banking,
,Short term,,,,,,
,Long term,,,,,,
,intermediate term,,,,,,
,All of the above,,,,,,
,,,,,,,
,____________ are trading venues that function like exchanges but that do not exercise regulatory authority over their subscribers except with respect to the conduct of their trading in their trading systems.,D,E,Theory,Single Choice,Investment Banking,
,Alternative trading systems,,,,,,
,Electronic communications networks,,,,,,
,Multilateral trading facilities,,,,,,
,All of the above,,,,,,
,,,,,,,
,___________ are dealers with whom central banks trade when conducting monetary policy,A,E,Theory,Single Choice,Investment Banking,
,Primary Dealers,,,,,,
,Brokers,,,,,,
,Secondary Dealers,,,,,,
,None of the above,,,,,,
,,,,,,,
,Which preferred shared carries the maximum risk?,B,E,Theory,Single Choice,Investment Banking,
,Putable Shares,,,,,,
,Callable Shares,,,,,,
,Both a and b,,,,,,
,"Non putable, non callable shares",,,,,,
,,,,,,,
,Advantage of participating preferred shares over non participating preferred shares is:,A,E,Theory,Single Choice,Investment Banking,
,Receive extra dividends,,,,,,
,obtain voting rights,,,,,,
,convertibility into common stock,,,,,,
,All of the above,,,,,,
,,,,,,,
,Which of the following is not a characteristic of private equity?,C,E,Theory,Single Choice,Investment Banking,
,Lower reporting costs,,,,,,
,Potentially weaker corporate governance,,,,,,
,Lower returns because of its less liquid market,,,,,,
,All are characteristics of private equity,,,,,,
,,,,,,,
,"In _________________, each share held is assigned one vote in the election of each member of the board of directors.",C,E,Theory,Single Choice,Investment Banking,
,Cumulative Voting,,,,,,
,Open Voting,,,,,,
,Statutory Voting,,,,,,
,None of the above,,,,,,
,,,,,,,
,In ___________________ shareholders can allocate their votes to one or more candidates as they choose.,A,E,Theory,Single Choice,Investment Banking,
,Cumulative Voting,,,,,,
,Open Voting,,,,,,
,Statutory Voting,,,,,,
,None of the above,,,,,,
,,,,,,,
,________________ give the firm the right to repurchase the stock at a pre-specified call price.,C,E,Theory,Single Choice,Investment Banking,
,Preference Shares,,,,,,
,Putable Shares,,,,,,
,Callable Shares,,,,,,
,Common Shares,,,,,,
,,,,,,,
,____________ give the shareholder the right to sell the shares back to the firm at a specific price.,B,E,Theory,Single Choice,Investment Banking,
,Preference Shares,,,,,,
,Putable Shares,,,,,,
,Callable Shares,,,,,,
,Common Shares,,,,,,
,,,,,,,
,"_____________ are usually promised fixed dividends, and any dividends that are not paid must be made up before common shareholders can receive dividends.",C,E,Theory,Single Choice,Investment Banking,
,Participating Shares,,,,,,
,Non Participating Shares,,,,,,
,Cumulative Preference shares,,,,,,
,Convertible preference shares,,,,,,
,,,,,,,
,_____________ receive extra dividends if firm profits exceed a predetermined level and may receive a value greater than the par value of the preferred stock if the firm is liquidated.,A,E,Theory,Single Choice,Investment Banking,
,Participating Shares,,,,,,
,Non Participating Shares,,,,,,
,Cumulative Preference shares,,,,,,
,Convertible preference shares,,,,,,
,,,,,,,
,______________ have a claim equal to par value in the event of liquidation and do not share in firm profits.,B,E,Theory,Single Choice,Investment Banking,
,Participating Shares,,,,,,
,Non Participating Shares,,,,,,
,Cumulative Preference shares,,,,,,
,Convertible preference shares,,,,,,
,,,,,,,
,______________ can be exchanged for common stock at a conversion ratio determined when the shares are originally issued.,D,E,Theory,Single Choice,Investment Banking,
,Participating Shares,,,,,,
,Non Participating Shares,,,,,,
,Cumulative Preference shares,,,,,,
,Convertible preference shares,,,,,,
,,,,,,,
,In ___________ a stock's value is estimated as the present value of cash available to shareholders after the firm meets its necessary capital expenditures and working capital expenses,C,E,Theory,Single Choice,Investment Banking,
,Multiplier Model,,,,,,
,Dividend discount model,,,,,,
,Discounted cash flow model,,,,,,
,Asset based model,,,,,,
,,,,,,,
,"In _______________ the ratio of stock price to such fundamentals as earnings, sales, book value, or cash flow per share is used to determine if a stock is fairly valued.",A,E,Theory,Single Choice,Investment Banking,
,Multiplier Model,,,,,,
,Dividend discount model,,,,,,
,Discounted cash flow model,,,,,,
,Asset based model,,,,,,
,,,,,,,
,In ____________ the intrinsic value of common stock is estimated as total asset value minus liabilities and preferred stock.,D,E,Theory,Single Choice,Investment Banking,
,Multiplier Model,,,,,,
,Dividend discount model,,,,,,
,Discounted cash flow model,,,,,,
,Asset based model,,,,,,
,,,,,,,
,The ____________ is based on the rationale that the intrinsic value of stock is the present value of its future dividends.,B,E,Theory,Single Choice,Investment Banking,
,Multiplier Model,,,,,,
,Dividend discount model,,,,,,
,Discounted cash flow model,,,,,,
,Asset based model,,,,,,
,,,,,,,
,"In ___________ approach, an analyst compares a stock's price multiple to a benchmark value based on an index, industry group of firms, or a peer group of firms within an industry.",A,E,Theory,Single Choice,Investment Banking,
,Price Multiples,,,,,,
,Price Multiples based on comparables,,,,,,
,Price Multiples based on fundamentals,,,,,,
,Price Multiples based on values,,,,,,
,,,,,,,
,"When we compare price to earnings ratio for a firm to those of other firms based on market prices, we are using _____________________ approach.",B,E,Theory,Single Choice,Investment Banking,
,Price Multiples,,,,,,
,Price Multiples based on comparables,,,,,,
,Price Multiples based on fundamentals,,,,,,
,Price Multiples based on values,,,,,,
,,,,,,,
,________________ approach tell us what a multiple should be based on some valuation model and therefore are not dependent on the current market prices of other companies to establish value.,C,E,Theory,Single Choice,Investment Banking,
,Price Multiples,,,,,,
,Price Multiples based on comparables,,,,,,
,Price Multiples based on fundamentals,,,,,,
,Price Multiples based on values,,,,,,
,,,,,,,
,Which of the following is an advantage of discounted cash flow models?,C,E,Theory,Single Choice,Investment Banking,
,They can be used in time series and cross-sectional comparisons.,,,,,,
,They correspond to widely accepted value metrics.,,,,,,
,They are widely accepted in the analyst community.,,,,,,
,They are based on theoretically sound valuation models.,,,,,,
,,,,,,,
,Which of the following is a disadvantage of discounted cash flow models?,A,E,Theory,Single Choice,Investment Banking,
,Value estimates are very sensitive to input values.,,,,,,
,A stock may appear overvalued by the comparable method but undervalued by a fundamental method or vice versa.,,,,,,
,Lagging price multiples reflect the past.,,,,,,
,They are inaccurate when a firm has a high proportion of intangible assets or future cash flows not reflected in asset values.,,,,,,
,,,,,,,
,Which of the following is an advantage of comparable valuation using price multiples?,A,E,Theory,Single Choice,Investment Banking,
,They can be used in time series and cross-sectional comparisons.,,,,,,
,They correspond to widely accepted value metrics.,,,,,,
,They are widely accepted in the analyst community.,,,,,,
,They are based on theoretically sound valuation models.,,,,,,
,,,,,,,
,Which of the following is a disadvantage of comparable valuation using price multiples?,B,E,Theory,Single Choice,Investment Banking,
,Value estimates are very sensitive to input values.,,,,,,
,A stock may appear overvalued by the comparable method but undervalued by a fundamental method or vice versa.,,,,,,
,Their inputs must be estimated.,,,,,,
,They are inaccurate when a firm has a high proportion of intangible assets or future cash flows not reflected in asset values.,,,,,,
,,,,,,,
,Which of the following is an advantage of price multiple valuations based on fundamentals?,D,E,Theory,Single Choice,Investment Banking,
,They can be used in time series and cross-sectional comparisons.,,,,,,
,They correspond to widely accepted value metrics.,,,,,,
,Price multiples are widely used by analysts.,,,,,,
,They are based on theoretically sound valuation models.,,,,,,
,,,,,,,
,Which of the following is a disadvantage of price multiple valuations based on fundamentals?,C,E,Theory,Single Choice,Investment Banking,
,Value estimates are very sensitive to input values.,,,,,,
,A stock may appear overvalued by the comparable method but undervalued by a fundamental method or vice versa.,,,,,,
,They will be very sensitive to inputs.,,,,,,
,Price multiples for cyclical firms may be greatly affected by economic conditions at a given point In time..,,,,,,
,,,,,,,
,Which of the following is an advantage of asset based models?,C,E,Theory,Single Choice,Investment Banking,
,They can be used in time series and cross-sectional comparisons.,,,,,,
,They correspond to widely accepted value metrics.,,,,,,
,"They are most reliable when the firm has primarily tangible short-term assets, assets with ready market values, or when the firm is being liquidated.",,,,,,
,They are based on theoretically sound valuation models.,,,,,,
,,,,,,,
,Which of the following is a disadvantage of asset based models?,D,E,Theory,Single Choice,Investment Banking,
,Value estimates are very sensitive to input values.,,,,,,
,A stock may appear overvalued by the comparable method but undervalued by a fundamental method or vice versa.,,,,,,
,They will be very sensitive to inputs.,,,,,,
,They are inaccurate when a firm has a high proportion of intangible assets or future cash flows not reflected in asset values.,,,,,,
,,,,,,,
,A stock will pay a dividend of $2 next year and will sell for $40 at the end of the year. If the return rate required is 15% what is the value of the stock?,B,M,Numerical,Single Choice,Investment Banking,
,$33,,,,,,
,$33.54,,,,,,
,$36.52,,,,,,
,$43.95,,,,,,
,,,,,,,
,Which of the following is a prerequisite of a constant growth model?,C,M,Theory,Single Choice,Investment Banking,
,g is not equal to k,,,,,,
,g > k,,,,,,
,g < k,,,,,,
,either b or c,,,,,,
,,,,,,,
,What should an investor pay for a preferred share which pays an annual dividend of $7 if the required rate of return is 7.75%?,C,M,Numerical,Single Choice,Investment Banking,
,$77.50,,,,,,
,$87.50,,,,,,
,$90.32,,,,,,
,$89.82,,,,,,
,,,,,,,
,"if g=7%, k=12% and next year dividend will be $2. What is stock's intrinsic value?",C,M,Numerical,Single Choice,Investment Banking,
,$28.57,,,,,,
,$35.32,,,,,,
,$40.00,,,,,,
,$42.80,,,,,,
,,,,,,,
,"If g=5%, required rate of return = 10% and most recent dividend is $1, what is the intrinsic value of the stock?",B,M,Numerical,Single Choice,Investment Banking,
,$20.00,,,,,,
,$21.00,,,,,,
,$22.00,,,,,,
,$22.05,,,,,,
,,,,,,,
,If g=6% and most recent dividend is $1. What is the value of stock if investor requires 15% return on stocks?,D,M,Numerical,Single Choice,Investment Banking,
,$10.60,,,,,,
,$11.11,,,,,,
,$11..50,,,,,,
,$11.78,,,,,,
,,,,,,,
,"If a stock is expected to pay $1.25 and $1.56 dividend at end of year 1 and year 2 respectively and dividends are expected to grow at 5% rate thereafter, what will be the value of stock? Assume k=11%",C,M,Numerical,Single Choice,Investment Banking,
,$22.30,,,,,,
,$23.42,,,,,,
,$24.45,,,,,,
,$25.00,,,,,,
,,,,,,,
,"A firm ABC believe that its earnings and dividends will grow at 25% for the next two year after which growth will fall at constant rate of 6%. If discount rate is 10% and ABC most recently paid dividend is $1, what will be the value of stock ?",D,M,Numerical,Single Choice,Investment Banking,
,$31.25,,,,,,
,$32.50,,,,,,
,$33.54,,,,,,
,$36.65,,,,,,
,,,,,,,
,A firm has a payout ratio of 60% and growth rate of 7%. What should be the P/E ratio of the firm if the required rate of return on the stock is 15%?,C,M,Numerical,Single Choice,Investment Banking,
,5,,,,,,
,6,,,,,,
,7.5,,,,,,
,10,,,,,,
,,,,,,,
,Which of the following must be valued using constant growth dividend discount model?,B,M,Theory,Single Choice,Investment Banking,
,auto manufacturer,,,,,,
,producer of bread and snacks,,,,,,
,biotechnology firm in existence for two years,,,,,,
,both a and b,,,,,,
,,,,,,,
,The company going out of business must calculate its,D,E,Theory,Single Choice,Investment Banking,
,Residual income value,,,,,,
,Net salvage value,,,,,,
,Dividend discount model value,,,,,,
,Liquidation value,,,,,,
,,,,,,,
,A _____________ is the minimum return an investor requires given the asset's risk.,C,e,Theory,Single Choice,Investment Banking,
,Realized return,,,,,,
,Expected return,,,,,,
,Required return,,,,,,
,Equity risk premium,,,,,,
,,,,,,,
,A ________________ is a historical return based on past observed prices and cash flows.,A,e,Theory,Single Choice,Investment Banking,
,Realized return,,,,,,
,Expected return,,,,,,
,Required return,,,,,,
,Equity risk premium,,,,,,
,,,,,,,
,A ___________ is based on forecasts of future prices and cash flows.,B,E,Theory,Single Choice,Investment Banking,
,Realized return,,,,,,
,Expected return,,,,,,
,Required return,,,,,,
,Equity risk premium,,,,,,
,,,,,,,
,The _______________ is the return in excess of the risk-free rate that investors require for holding equity securities.,D,E,Theory,Single Choice,Investment Banking,
,Realized return,,,,,,
,Expected return,,,,,,
,Required return,,,,,,
,Equity risk premium,,,,,,
,,,,,,,
,A ________________ of the equity risk premium consists of the difference between the historical mean return for a broad-based equity-market index and a risk-free rate over a given time period.,C,E,Theory,Single Choice,Investment Banking,
,Past estimates,,,,,,
,Forward looking estimates,,,,,,
,Historical estimates,,,,,,
,Future estimates,,,,,,
,,,,,,,
,"A _______________ use current information and expectations
 concerning economic and financial variables.",B,E,Theory,Single Choice,Investment Banking,
,Past estimates,,,,,,
,Forward looking estimates,,,,,,
,Historical estimates,,,,,,
,Future estimates,,,,,,
,,,,,,,
,_______________ is unexpected change in the difference between the return of risky corporate bonds and government bonds.,D,E,Theory,Single Choice,Investment Banking,
,Inflation risk,,,,,,
,Business cycle risk,,,,,,
,Time horizon risk,,,,,,
,confidence risk,,,,,,
,,,,,,,
,_______________ is unexpected change in the level of real business activity.,B,E,Theory,Single Choice,Investment Banking,
,Inflation risk,,,,,,
,Business cycle risk,,,,,,
,Time horizon risk,,,,,,
,confidence risk,,,,,,
,,,,,,,
,___________ is unexpected change in the difference between the return of long-term government bonds and Treasury bills.,C,E,Theory,Single Choice,Investment Banking,
,Inflation risk,,,,,,
,Business cycle risk,,,,,,
,Time horizon risk,,,,,,
,Market timing risk,,,,,,
,,,,,,,
,___________ is unexpected change in the inflation rate.,A,E,Theory,Single Choice,Investment Banking,
,Inflation risk,,,,,,
,Business cycle risk,,,,,,
,Time horizon risk,,,,,,
,Market timing risk,,,,,,
,,,,,,,
,"___________ is equity market return that is not explained by the other four
 factors.",D,E,Theory,Single Choice,Investment Banking,
,Inflation risk,,,,,,
,Business cycle risk,,,,,,
,Time horizon risk,,,,,,
,Market timing risk,,,,,,
,,,,,,,
,A company's debt is twice its equity. The required return on debt and equity are 8% and 10 % respectively. The marginal tax rate for the company is 30%. The WACC for the company is:,C,M,Numerical,Single Choice,Investment Banking,
,6%,,,,,,
,6.07%,,,,,,
,7.07%,,,,,,
,8.67%,,,,,,
,,,,,,,
,Which of the following is included in Pastor-Stambaugh model but not in the Fama-French model?,A,M,Theory,Single Choice,Investment Banking,
,A liquidity premium,,,,,,
,book to market premium,,,,,,
,market capitalization premium,,,,,,
,all are included,,,,,,
,,,,,,,
,Which of the following is the rationales for using price to earnings ratio in valuation?,D,M,Theory,Single Choice,Investment Banking,
,"Earnings power, as measured by earnings per share (EPS), is the primary determinant of investment value.",,,,,,
,P/E can be useful in valuing companies that are expected to go out of business.,,,,,,
,The P/E ratio is popular in the investment community.,,,,,,
,both a and c,,,,,,
,,,,,,,
,Which of the following is the disadvantage for using price to earnings ratio in valuation?,D,M,Theory,Single Choice,Investment Banking,
,Earnings can be negative,,,,,,
,"Management discretion within allowed accounting practices can distort reported earnings, and thereby lessen the comparability of PIEs across firms.",,,,,,
,"P/E do not reflect the value of intangible economic assets, such as human capital.",,,,,,
,a and b only,,,,,,
,,,,,,,
,Which of the following is the rationales for using price to book value ratio in valuation?,A,M,Theory,Single Choice,Investment Banking,
,Book value is more stable than EPS.,,,,,,
,"P/B do not reflect the value of intangible economic assets, such as human capital.",,,,,,
,Empirical research shows that P/B differences are significantly related to long-run average stock returns.,,,,,,
,b and c only,,,,,,
,,,,,,,
,Which of the following is the disadvantage for using price to earnings ratio in valuation?,C,M,Theory,Single Choice,Investment Banking,
,Book value is not an appropriate measure of net asset value for firms that primarily hold liquid assets.,,,,,,
,P/B is not useful in valuing companies that are expected to go out of business.,,,,,,
,"Inflation and technological change can cause the book and market values of assets to differ significantly, so book value is not an accurate measure of the value of shareholders' investment. This makes it more difficult to compare P/Bs across firms.",,,,,,
,All of the above,,,,,,
,,,,,,,
,Abc earned $3.5 per share last year. Investment in fixed capital was $2.00 per share and depreciation was $1.6 and working capital investment was $.5 per share. The current debt to asset ratio is 40%. The required return for shareholders is 14% and expected growth rate is 4%. The value of Abc stock is :,D,M,Numerical,Single Choice,Investment Banking,
,$27.00,,,,,,
,$27.04,,,,,,
,$29.90,,,,,,
,$30.78,,,,,,
,,,,,,,
