,Question,Answer,Level,Category,Type,Tag,Answer Description
b),4,,,,,,
c),2,,,,,,
d),3.5,,,,,,
,,,,,,,
5,"If the risk-free rate of return is 3.5%, the expected market return is 9.5%, and the beta of a stock is 1.3, what is the required return on the stock?",B,M,Numerical,Single Choice,Portfolio Management,"The formula for the required return is: ER = R + (E - R ) × Beta ,
 or 0.035 + (0.095 - 0.035) × 1.3 = 0.113, or 11.3%."
a),12.4%.,,,,,,
b),11.3%.,,,,,,
c),7.8%.,,,,,,
d),None of these,,,,,,
,,,,,,,
6,The market portfolio in Capital Market Theory is determined by:,C,E,Theory,Single Choice,Portfolio Management,he Capital Market Line is a straight line drawn from the risk-free rate of return (on the Y axis) through the market portfolio. The market portfolio is determined as where that straight line is exactly tangent to the efficient frontier.
a),the intersection of the efficient frontier and the investor's highest utility curve.,,,,,,
b),"a line tangent to the efficient frontier, drawn from any point on the expected return axis.",,,,,,
c),"a line tangent to the efficient frontier, drawn from the risk-free rate of return.",,,,,,
d),None of these,,,,,,
,,,,,,,
7,Which of the following statements about the capital market line (CML) is least accurate?,A,E,Theory,Single Choice,Portfolio Management,"The first part of this statement is true - the market portfolio does lie on the CML. However, the market portfolio is well diversified and thus has no unsystematic risk. The risk that remains is market risk, or nondiversifiable, or systematic risk."
a),The market portfolio lies on the CML and has only unsystematic risk.,,,,,,
b),The CML will not be a linear relationship if investors' borrowing and lending rates are not equal.,,,,,,
c),Investors choose a portfolio on the CML by varying their weightings of the risk-free asset and the market,,,,,,
d),None of these,,,,,,
,,,,,,,
8,"Given the following data, what is the correlation coefficient between the two stocks and the Beta of stock A?

 standard deviation of returns of Stock A is 10.04%
 standard deviation of returns of Stock B is 2.05%
 standard deviation of the market is 3.01%
 covariance between the two stocks is 0.00109
 covariance between the market and stock A is 0.002",B,M,Numerical,Single Choice,Portfolio Management,"correlation coefficient = 0.00109 / (0.0205)(0.1004) = 0.5296.
 beta of stock A = covariance between stock and the market / variance of the market
 Beta = 0.002 / 0.03012 = 2.2"
,Correlation Coefficient Beta (stock A),,,,,,
a),0.5296 0.06,,,,,,
b),0.5296 2.20,,,,,,
c),0.6556 2.20,,,,,,
d),None of these,,,,,,
,,,,,,,
9,An active manager will most likely short a security with an expected Jensen's alpha that is:,A,M,Theory,Single Choice,Portfolio Management,"A security's expected Jensen's alpha is the difference between an active manager's estimate of a security's expected return and the CAPM expected return. A security that is expected to have a negative alpha will plot below the SML (i.e., the security is overvalued and should be sold or sold short)."
a),negative.,,,,,,
b),positive.,,,,,,
c),zero.,,,,,,
d),None of these,,,,,,
,,,,,,,
10,"In the context of the capital market line (CML), which of the following statements is CORRECT?",C,E,Theory,Single Choice,Portfolio Management,The other statements are false. Market risk cannot be reduced through diversification; market risk = systematic risk. The two classes of risk are unsystematic risk and systematic risk.
a),Market risk can be reduced through diversification.,,,,,,
b),The two classes of risk are market risk and systematic risk.,,,,,,
c),Firm-specific risk can be reduced through diversification,,,,,,
d),None of these,,,,,,
,,,,,,,
11,Which of the following statements about risk is is NOT correct?,A,E,Theory,Single Choice,Portfolio Management,Total risk = systematic risk + unsystematic risk
a),Total risk = systematic risk - unsystematic risk.,,,,,,
b),Unsystematic risk is diversifiable risk.,,,,,,
c),The market portfolio consists only of systematic risk.,,,,,,
d),None of these,,,,,,
,,,,,,,
12,What is the expected rate of return on a stock that has a beta of 1.4 if the market risk premium is 9% and the risk-free rate is 4%?,C,M,Numerical,Single Choice,Portfolio Management,"Using the security market line (SML) equation:
 4% + 1.4(9%) = 16.6%."
a),13.0%.,,,,,,
b),11.0%.,,,,,,
c),16.6%.,,,,,,
d),None of these,,,,,,
,,,,,,,
13,An equally weighted portfolio of a risky asset and a risk-free asset will exhibit:,B,M,Theory,Single Choice,Portfolio Management,"A risk free asset has a standard deviation of returns equal to zero and a correlation of returns with any risky asset also equal to zero. As a result, the standard deviation of returns of a portfolio of a risky asset and a risk-free asset is equal to the weight of the risky asset multiplied by its standard deviation of returns. For an equally weighted portfolio, the weight of the risky asset is 0.5 and the portfolio standard deviation is 0.5 × the standard deviation of returns of the risky asset."
a),more than half the returns standard deviation of the risky asset.,,,,,,
b),half the returns standard deviation of the risky asset.,,,,,,
c),less than half the returns standard deviation of the risky asset.,,,,,,
d),None of these,,,,,,
,,,,,,,
14,A model that estimates expected excess return on a security based on the ratio of the firm's book value to its market value is best described as a:,B,E,Theory,Single Choice,Portfolio Management,A model that estimates a stock's expected excess return based only on the book-to-market ratio is a single-factor model. The market model is a single-factor model that estimates expected excess return based on a security's sensitivity to the expected excess return of the market portfolio. A multifactor model would estimate expected excess return based on more than one factor
a),multifactor model.,,,,,,
b),single-factor model.,,,,,,
c),market model.,,,,,,
,,,,,,,
15,Which of the following is an assumption of capital market theory? All investors:,B,E,Theory,Single Choice,Portfolio Management,"All investors select portfolios that lie along the efficient frontier, based on their utility functions. All investors have the same one-period time horizon, and have the same risk/return expectations"
a),select portfolios that lie above the efficient frontier to optimize the risk-return relationship.,,,,,,
b),see the same risk/return distribution for a given stock.,,,,,,
c),have multiple-period time horizons,,,,,,
d),None of these,,,,,,
,,,,,,,
16,One of the assumptions underlying the capital asset pricing model is that:,C,E,Theory,Single Choice,Portfolio Management,"The CAPM assumes frictionless markets, i.e., no taxes or transactions costs. Among the other assumptions of the CAPM are that all investors have the same one-period time horizon and that all investments are infinitely divisible."
a),each investor has a unique time horizon.,,,,,,
b),only whole shares or whole bonds are available.,,,,,,
c),there are no transactions costs or taxes,,,,,,
d),None of these,,,,,,
,,,,,,,
17,The slope of the characteristic line is used to estimate:,C,E,Theory,Single Choice,Portfolio Management,"Beta for an individual security can be estimated by the slope of its characteristic line, a least-squares regression of the security's excess returns against the market's excess returns."
a),a risk premium.,,,,,,
b),risk aversion.,,,,,,
c),beta.,,,,,,
d),None of these,,,,,,
,,,,,,,
18,Which of the following statements about a stock's beta is CORRECT? A beta greater than one is:,C,E,Theory,Single Choice,Portfolio Management,"Beta is a measure of the volatility of a stock. The overall market's beta is one. A stock with higher systematic risk than the market will have a beta greater than one, while a stock that has a lower systematic risk will have a beta less than one."
a),"risky, while a beta less than one is risk-free.",,,,,,
b),"undervalued, while a beta less than one is overvalued.",,,,,,
c),"riskier than the market, while a beta less than one is less risky than the market",,,,,,
d),None of these,,,,,,
,,,,,,,
19,"Given a beta of 1.25 and a risk-free rate of 6%, what is the expected rate of return assuming a 12% market return?",C,M,Numerical,Single Choice,Portfolio Management,"k = 6 + 1.25 (12 − 6)
 = 6 + 1.25(6)
 = 6 + 7.5
 = 13.5"
a),31%.,,,,,,
b),10%.,,,,,,
c),13.5%.,,,,,,
d),None of these,,,,,,
,,,,,,,
20,Beta is least accurately described as:,A,H,Theory,Single Choice,Portfolio Management,Beta is a standardized measure of the systematic risk of a security. β = Cov / σ . Beta is multiplied by the market risk premium in the CAPM: E(R) = RFR + β[E(R ) - RFR].
a),a standardized measure of the total risk of a security.,,,,,,
b),a measure of the sensitivity of a security's return to the market return,,,,,,
c),"the covariance of a security's returns with the market return, divided by the variance of market returns.",,,,,,
d),None of these,,,,,,
,,,,,,,
21,What is the risk measure associated with the CML?,B,E,Theory,Single Choice,Portfolio Management,"In the context of the CML, the measure of risk (x-axis) is total risk, or standard deviation. Beta (systematic risk) is used to measure risk for the security market line (SML)."
a),Beta.,,,,,,
b),Standard deviation.,,,,,,
c),Market risk.,,,,,,
d),None of these,,,,,,
,,,,,,,
22,Which of the following statements regarding the Capital Asset Pricing Model is least accurate?,A,H,Theory,Single Choice,Portfolio Management,"The CML plots expected return versus standard deviation risk. The SML plots expected return versus beta risk. Therefore, they are lines that are plotted in different two-dimensional spaces and will not converge."
a),It is when the security market line (SML) and capital market line (CML) converge.,,,,,,
b),Its accuracy depends upon the accuracy of the beta estimates.,,,,,,
c),It is useful for determining an appropriate discount rate,,,,,,
d),None of these,,,,,,
,,,,,,,
23,"Given a beta of 1.55 and a risk-ree rate of 8%, what is the expected rate of return, assuming a 14% market return?",A,M,Numerical,Single Choice,Portfolio Management,"k = 8 + 1.55(14-8)
 = 8 + 1.55(6)
 = 8 + 9.3
 = 17.3"
a),17.3%.,,,,,,
b),20.4%.,,,,,,
c),12.4%.,,,,,,
d),None of these,,,,,,
,,,,,,,
24,"Given a beta of 1.10 and a risk-free rate of 5%, what is the expected rate of return assuming a 10% market return?",C,H,Numerical,Single Choice,Portfolio Management,k = 5 + 1.10 (10 - 5) = 10
a),5.5%.,,,,,,
b),15.5%.,,,,,,
c),10.5%.,,,,,,
d),None of these,,,,,,
,,,,,,,
25,"Mason Snow, CFA, is an analyst with Polari Investments. Snow's manager has instructed him to put only securities that are
 undervalued on the buy list. 
Today, Snow is to make a recommendation on the following two stocks: Bahre (with an expected return of 10% and a beta of 1.4) and Cubb (with an expected return of 15% and a beta of 2.0).
 The risk-free rate is at 7% and the market premium is 4%.
 
Snow places:",C,E,Numerical,Single Choice,Portfolio Management,"In the context of the SML, a security is underpriced if the required return is less than the holding period (or expected) return, is
 overpriced if the required return is greater the holding period (or expected) return, and is correctly priced if the required return equals the holding period (or expected) return.
 Here, the holding period (or expected) return is calculated as: (ending price - beginning price + any cash flow or dividends) /beginning price. The required return uses the equation of the SML: risk free rate + Beta × (expected market rate - risk free rate)"
a),only Cubb on the list.,,,,,,
b),only Bahre on the list.,,,,,,
c),neither security on the list,,,,,,
d),None of these,,,,,,
,,,,,,,
26,Beta is a measure of:,A,E,Theory,Single Choice,Portfolio Management,Beta is a measure of systematic risk.
a),systematic risk.,,,,,,
b),total risk.,,,,,,
c),company-specific risk,,,,,,
d),None of these,,,,,,
,,,,,,,
27,The expected rate of return is twice the 12% expected rate of return from the market. What is the beta if the risk-free rate is 6%?,B,M,Numerical,Single Choice,Portfolio Management,"24 = 6 + β (12 − 6)
 18 = 6β
 β = 3"
a),4,,,,,,
b),3,,,,,,
c),2,,,,,,
d),None of these,,,,,,
,,,,,,,
28,Which of the following measures produces the same portfolio rankings as the Sharpe ratio but is stated in percentage terms?,C,M,Theory,Single Choice,Portfolio Management,M-squared measures the excess return of a leveraged portfolio relative to the market portfolio and produces the same portfolio rankings as Sharpe ratio.
a),Treynor measure.,,,,,,
b),Jensen's alpha.,,,,,,
c),M-squared.,,,,,,
d),None of these,,,,,,
,,,,,,,
29,Which of the following statements about systematic and unsystematic risk is most accurate?,A,E,Theory,Single Choice,Portfolio Management,"Total risk equals systematic (market) plus unsystematic (firm-specific) risk.
 The unsystematic risk for a specific firm is not similar to the unsystematic risk for other firms in the same industry. Unsystematic risk is firm-specific or unique risk.
 Systematic risk of a portfolio can be changed by adding high-beta or low-beta stocks"
a),Total risk equals market risk plus firm-specific risk.,,,,,,
b),The unsystematic risk for a specific firm is similar to the unsystematic risk for other firms in the same industry.,,,,,,
c),"As an investor increases the number of stocks in a portfolio, the systematic risk will remain constant.",,,,,,
d),None of these,,,,,,
,,,,,,,
30,When the market is in equilibrium:,C,M,Theory,Single Choice,Portfolio Management,"When the market is in equilibrium, expected returns equal required returns. Since this means that all assets are correctly priced, all assets plot on the SML."
a),investors own 100% of the market portfolio.,,,,,,
b),all assets plot on the CML.,,,,,,
c),all assets plot on the SML,,,,,,
d),None of these,,,,,,
,,,,,,,
1,A stock's abnormal rate of return is defined as the:,B,E,Theory,,,Abnormal return = Actual return - expected risk-adjusted return
a),rate of return during abnormal price movements.,,,,,,
b),actual rate of return less the expected risk-adjusted rate of return.,,,,,,
c),expected risk-adjusted rate of return minus the market rate of return,,,,,,
d),None of the given options,,,,,,
,,,,,,,
2,Portfolios that plot on the security market line in equilibrium:,C,E,Theory,Single Choice,Portfolio Management,All portfolios plot on the SML in equilibrium according to the capital asset pricing model.
a),must be well diversified,,,,,,
b),have only systematic (beta) risk.,,,,,,
c),may be concentrated in only a few stocks.,,,,,,
d),None of these,,,,,,
,,,,,,,
3,The market portfolio in the Capital Market Theory contains which types of investments?,A,E,Theory,Single Choice,Portfolio Management,The market portfolio contains all risky assets in existence. It does not contain any risk-free assets.
a),All risky assets in existence.,,,,,,
b),All stocks in existence.,,,,,,
c),All risky and risk-free assets in existence,,,,,,
d),None of these,,,,,,
,,,,,,,
4,Which of the following is the risk that disappears in the portfolio construction process?,A,E,Theory,Single Choice,Portfolio Management,Unsystematic risk (diversifiable risk) is the risk that is eliminated when the investor builds a well-diversified portfolio.
a),Unsystematic risk.,,,,,,
b),Systematic risk.,,,,,,
c),Interest rate risk,,,,,,
d),None of these,,,,,,
,,,,,,,
5,"Luis Green is an investor who uses the security market line to determine whether securities are properly valued. He is evaluating the stocks of two companies, Mia Shoes and Video Systems. 

The stock of Mia Shoes is currently trading at $15 per share, and the stock of Video Systems is currently trading at $18 per share. Green expects the prices of both stocks to increase by $2 in a year. 

Neither company pays dividends. Mia Shoes has a beta of 0.9 and Video Systems has a beta of (-0.30). 

If the market return is 15% and the risk-free rate is 8%, which trading strategy will Green employ?",A,M,Numerical,Single Choice,Portfolio Management,The required return for Mia Shoes is 0.08 + 0.9 × (0.15-0.08) = 14.3%. The forecast return is $2/$15 = 13.3%. The stock is overvalued and the investor should sell it. The required return for Video Systems is 0.08 - 0.3 × (0.15-0.08) = 5.9%. The forecast return is $2/$18 = 11.1%. The stock is undervalued and the investor should buy it.
,Mia Shoes Video Systems,,,,,,
a),Sell Buy,,,,,,
b),Buy Buy,,,,,,
c),Buy Sell,,,,,,
d),None of these,,,,,,
,,,,,,,
6,"An analyst wants to determine whether Dover Holdings is overvalued or undervalued, and by how much (expressed as percentage return). 

The analyst gathers the following information on the stock:

 Market standard deviation = 0.70
 Covariance of Dover with the market = 0.85
 Dover's current stock price (P ) = $35.00
 The expected price in one year (P ) is $39.00
 Expected annual dividend = $1.50
 3-month Treasury bill yield = 4.50%.
 Historical average S&P 500 return = 12.0%.
 Dover Holdings stock is:",C,M,Numerical,Single Choice,Portfolio Management,"To determine whether a stock is overvalued or undervalued, we need to compare the expected return (or holding period return) and the required return (from Capital Asset Pricing Model, or CAPM).
 Step 1: Calculate Expected Return (Holding period return)
 The formula for the (one-year) holding period return is:
 HPR = (D + S - S ) / S , where D = dividend and S = stock price.
 Here, HPR = (1.50 + 39 - 35) / 35 = 15.71%
 Step 2: Calculate Required Return
 The formula for the required return is from the CAPM: RR = R + (ER - R ) × Beta
 Here, we are given the information we need except for Beta. Remember that Beta can be calculated with: Beta = [cov ] /
 [σ ]. Here we are given the numerator and the denominator, so the calculation is: 0.85 / 0.70 = 1.73. RR = 4.50% + (12.0 -
 4.50%) × 1.73 = 17.48%.
 Step 3: Determine over/under valuation
 The required return is greater than the expected return, so the security is overvalued.
 The amount = 17.48% − 15.71% = 1.77%."
a),undervalued by approximately 1.8%.,,,,,,
b),undervalued by approximately 2.1%.,,,,,,
c),overvalued by approximately 1.8%.,,,,,,
d),None of these,,,,,,
,,,,,,,
7,Which of the following statements about the capital market line (CML) is least accurate?,A,E,Theory,Single Choice,Portfolio Management,"The first part of this statement is true - the market portfolio does lie on the CML. However, the market portfolio is well diversified and thus has no unsystematic risk. The risk that remains is market risk, or nondiversifiable, or systematic risk."
a),The market portfolio lies on the CML and has only unsystematic risk.,,,,,,
b),The CML will not be a linear relationship if investors' borrowing and lending rates are not equal.,,,,,,
c),Investors choose a portfolio on the CML by varying their weightings of the risk-free asset and the market,,,,,,
d),None of these,,,,,,
,,,,,,,
8,All portfolios on the capital market line are:,C,E,Theory,Single Choice,Portfolio Management,"The introduction of a risk-free asset changes the Markowitz efficient frontier into a straight line. This straight efficient frontier line is called the capital market line (CML). Since the line is straight, the math implies that any two assets falling on this line will be perfectly, positively correlated with each other. Note: When r = 1, then the equation for risk changes to s = W s + W s , which is a straight line."
a),distinct from each other.,,,,,,
b),unrelated except that they all contain the risk-free asset.,,,,,,
c),perfectly positively correlated,,,,,,
d),None of these,,,,,,
,,,,,,,
9,Which of the following is least likely considered a source of systematic risk for bonds?,B,M,Theory,Single Choice,Portfolio Management,Default risk is based on company-specific or unsystematic risk.
a),Purchasing power risk.,,,,,,
b),Default risk.,,,,,,
c),Market risk.,,,,,,
d),None of these,,,,,,
,,,,,,,
10,"An analyst has developed the following data for two companies, PNS Manufacturing (PNS) and InCharge Travel (InCharge). PNS has an expected return of 15% and a standard deviation of 18%. InCharge has an expected return of 11% and a standard deviation of 17%. PNS's correlation with the market is 75%, while InCharge's correlation with the market is 85%. If the market standard deviation is 22%, which of the following are the betas for PNS and InCharge?",C,H,Numerical,Single Choice,Portfolio Management,"Beta = (s /s ) × r
 BetaPNS = (0.18/0.22) × 0.75 = 0.6136
 BetaInCharge = (0.17/0.22) × 0.85 = 0.6568"
,Beta of PNS Beta of InCharge,,,,,,
a),0.66 0.61,,,,,,
b),0.92 1.10,,,,,,
c),0.61 0.66,,,,,,
d),None of these,,,,,,
,,,,,,,
11,"The beta of Stock A is 1.3. If the expected return of the market is 12%, and the risk-free rate of return is 6%, what is the expected return of Stock A?",B,H,Numerical,Single Choice,Portfolio Management,"RR = R + (R - R ) × Beta where RR= required return, R = return, and R = risk-free rate
 Here, RR = 6 + (12 - 6) × 1.3 = 6 + 7.8 = 13.8%.
 The following information is available for the stock of Park Street Holdings:
 The price today (P ) equals $45.00.
 The expected price in one year (P ) is $55.00.
 The stock's beta is 2.31.
 The firm typically pays no dividend.
 RR = Rf + (Rmar - Rf ) × Beta where RR= required return, R = return, and R = risk-free rate
 Here, RR = 6 + (12 - 6) × 1.3 = 6 + 7.8 = 13.8%."
a),15.6%.,,,,,,
b),13.8%.,,,,,,
c),14.2%.,,,,,,
d),None of these,,,,,,
,,,,,,,
12,"The following information is available for the stock of Park Street Holdings:
 The price today (P ) equals $45.00.
 The expected price in one year (P ) is $55.00.
 The stock's beta is 2.31.
 The firm typically pays no dividend.
 The 3-month Treasury bill is yielding 4.25%.
 The historical average S&P 500 return is 12.5%.",C,M,Numerical,Single Choice,Portfolio Management,"To determine whether a stock is overvalued or undervalued, we need to compare the expected return (or holding period return)
 and the required return (from Capital Asset Pricing Model, or CAPM).
 Step 1: Calculate Expected Return (Holding period return):
 The formula for the (one-year) holding period return is:
 HPR = (D + S - S ) / S , where D = dividend and S = stock price.
 Here, HPR = (0 + 55 - 45) / 45 = 22.2%
 Step 2: Calculate Required Return:
 The formula for the required return is from the CAPM:
 RR = R + (ER - R ) × Beta
 RR = 4.25% + (12.5 - 4.25%) × 2.31 = 23.3%.
 Step 3: Determine over/under valuation:
 The required return is greater than the expected return, so the security is overvalued.
 The amount = 23.3% − 22.2% = 1.1%"
,Park Street Holdings stock is:,,,,,,
a),undervalued by 1.1%.,,,,,,
b),undervalued by 3.7%.,,,,,,
c),overvalued by 1.1%.,,,,,,
d),None of these,,,,,,
,,,,,,,
13,"The expected market premium is 8%, with the risk-free rate at 7%. What is the expected rate of return on a stock with a beta of 1.3?",B,M,Numerical,Single Choice,Portfolio Management,"RR = Rf + (Rmar − Rf ) × Beta , where RR = required return, R = return, and R = risk-free rate, and (R − R ) =
 market premium
 Here, RR = 7 + (8 × 1.3) = 7 + 10.4 = 17.4%."
a),16.3%.,,,,,,
b),17.4%.,,,,,,
c),10.4%.,,,,,,
d),None of these,,,,,,
,,,,,,,
14,"Given the following information, what is the required rate of return on Bin Co?
 inflation premium = 3%
 real risk-free rate = 2%
 Bin Co. beta = 1.3",C,H,Numerical,Single Choice,Portfolio Management,"Use the capital asset pricing model (CAPM) to find the required rate of return. The approximate risk-free rate of interest is 5% (2% real
 risk-free rate + 3% inflation premium).
 k = 5% + 1.3(4%) = 10.2%."
,market risk premium = 4%,,,,,,
a),7.6%.,,,,,,
b),16.7%.,,,,,,
c),10.2%.,,,,,,
,,,,,,,
15,"For an investor to move further up the Capital Market Line than the market portfolio, the investor must:",C,E,Theory,Single Choice,Portfolio Management,"Portfolios that lie to the right of the market portfolio on the capital market line (""up"" the capital market line) are created by borrowing funds to own more than 100% of the market portfolio (M).
 The statement, ""diversify the portfolio even more"" is incorrect because the market portfolio is fully diversified."
a),diversify the portfolio even more.,,,,,,
b),reduce the portfolio's risk below that of the market.,,,,,,
c),borrow and invest in the market portfolio,,,,,,
d),None of these,,,,,,
,,,,,,,
16,A portfolio to the right of the market portfolio on the capital market line (CML) is created by:,C,E,Theory,Single Choice,Portfolio Management,"Portfolios that lie to the right of the market portfolio on the capital market line are created by borrowing funds to own more than 100% of the
 market portfolio (M).
 The statement, ""holding both the risk-free asset and the market portfolio"" refers to portfolios that lie to the left of the market portfolio.
 Portfolios that lie to the left of point M are created by lending funds (or buying the risk free-asset). These investors own less than 100% of both the market portfolio and more than 100% of the risk-free asset. The portfolio at point R (intersection of the CML and the y-axis) is created by holding 100% of the risk-free asset. The statement, ""fully diversifying"" is incorrect because the market portfolio is fully diversified."
a),holding both the risk-free asset and the market portfolio.,,,,,,
b),fully diversifying.,,,,,,
c),holding more than 100% of the risky asset,,,,,,
d),None of these,,,,,,
,,,,,,,
17,"Consider a stock selling for $23 that is expected to increase in price to $27 by the end of the year and pay a $0.50 dividend. If the risk-free rate is 4%, the expected return on the market is 8.5%, and the stock's beta is 1.9, what is the current valuation of the stock? The stock:",A,E,Numerical,Single Choice,Portfolio Management,"The required return based on systematic risk is computed as: ER = R + (ER - R ) × Beta , or 0.04 + (0.085 - 0.04) × 1.9
 = 0.1255, or 12.6%. The expected return is computed as: (P1 - P0 + D ) / P , or ($27 - $23 + $0.50) / $23 = 0.1957, or 19.6%.
 The stock is above the security market line ER > RR, so it is undervalued"
a),is undervalued.,,,,,,
b),is correctly valued.,,,,,,
c),is overvalued.,,,,,,
d),None of these,,,,,,
,,,,,,,
18,A stock that plots below the Security Market Line most likely:,C,M,Theory,Single Choice,Portfolio Management,"Since the equation of the SML is the capital asset pricing model, you can determine if a stock is over- or underpriced graphically
 or mathematically. Your answers will always be the same.
 Graphically: If you plot a stock's expected return on the SML and it falls below the line, it indicates that the stock is currently
 overpriced, causing its expected return to be too low. If the plot is above the line, it indicates that the stock is underpriced. If the plot falls on the SML, it indicates the stock is properly priced. Mathematically: In the context of the SML, a security is underpriced if the required return is less than the holding period (or expected) return, is overpriced if the required return is greater the holding period (or expected) return, and is correctly priced if the required return equals the holding period (or expected) return."
a),has a beta less than one.,,,,,,
b),is below the efficient frontier.,,,,,,
c),is overvalued.,,,,,,
d),None of these,,,,,,
,,,,,,,
19,Which of the following is the vertical axis intercept for the Capital Market Line (CML)?,B,E,Theory,Single Choice,Portfolio Management,The CML originates on the vertical axis from the point of the risk-free rate.
a),Expected return on the portfolio.,,,,,,
b),Risk-free rate.,,,,,,
c),Expected return on the market,,,,,,
d),None of these,,,,,,
,,,,,,,
20,"What is the required rate of return for a stock with a beta of 1.2, when the risk-free rate is 6% and the market is offering 12%?",A,H,Numerical,Single Choice,Portfolio Management,"RR = Rf + (Rmarket - Rf ) × Beta where RR= required return, R = return, and R = risk-free rate.
 Here, RR = 6 + (12 - 6) × 1.2 = 6 + 7.2 = 13.2%."
a),13.2%.,,,,,,
b),7.2%.,,,,,,
c),6.0%.,,,,,,
d),None of these,,,,,,
,,,,,,,
21,The slope of the capital market line (CML) is a measure of the level of:,B,E,Theory,Single Choice,Portfolio Management,The slope of the CML indicates the excess return (expected return less the risk-free rate) per unit of risk.
a),expected return over the level of inflation.,,,,,,
b),excess return per unit of risk.,,,,,,
c),risk over the level of excess return,,,,,,
d),None of these,,,,,,
,,,,,,,
22,"Based on Capital Market Theory, an investor should choose the:",A,E,Theory,Single Choice,Portfolio Management,"Given the Capital Market Line, the investor chooses the portfolio that maximizes his utility. That portfolio may be exactly the market portfolio or it may be some combination of the risk-free asset and the market portfolio."
a),portfolio that maximizes his utility on the Capital Market Line.,,,,,,
b),market portfolio on the Capital Market Line.,,,,,,
c),portfolio with the highest return on the Capital Market Line.,,,,,,
d),None of these,,,,,,
,,,,,,,
23,The market model of the expected return on a risky security is best described as a(n):,A,M,Theory,Single Choice,Portfolio Management,"The market model is a single-factor model. The single factor is the expected excess return on the market portfolio, or [E(R ) -
 RFR]."
a),single-factor model.,,,,,,
b),arbitrage-based model.,,,,,,
c),two-factor model,,,,,,
d),None of these,,,,,,
,,,,,,,
24,Portfolios that represent combinations of the risk-free asset and the market portfolio are plotted on the:,C,M,Theory,Single Choice,Portfolio Management,"The introduction of a risk-free asset changes the Markowitz efficient frontier into a straight line. This straight efficient frontier line is called
 the capital market line (CML). Investors at point Rf have 100% of their funds invested in the risk-free asset. Investors at point M have 100%
 of their funds invested in market portfolio M. Between Rf and M, investors hold both the risk-free asset and portfolio M. To the right of M, investors hold more than 100% of portfolio M. All investors have to do to get the risk and return combination that suits them is to simply vary the proportion of their investment in the risky portfolio M and the risk-free asset. Utility curves reflect individual preferences."
a),capital asset pricing line.,,,,,,
b),utility curve.,,,,,,
c),capital market line.,,,,,,
d),None of these,,,,,,
,,,,,,,
25,"In Fama and French's multifactor model, the expected return on a stock is explained by:",A,E,Theory,Single Choice,Portfolio Management,"In the Fama and French model, the three factors that explain individual stock returns are firm size, the firm's book valueto-market value ratio, and the excess return on the market portfolio. The Carhart model added price momentum as a fourth factor"
a),"firm size, book-to-market ratio, and excess return on the market portfolio.",,,,,,
b),"firm size, book-to-market ratio, and price momentum.",,,,,,
c),"excess return on the market portfolio, book-to-market ratio, and price momentum.",,,,,,
d),None of these,,,,,,
,,,,,,,
26,"Charlie Smith holds two portfolios, Portfolio X and Portfolio Y. They are both liquid, well-diversified portfolios with approximately equal market values. 

He expects Portfolio X to return 13% and Portfolio Y to return 14% over the upcoming year. Because of an unexpected need for cash, Smith is forced to sell at least one of the portfolios.He uses the security market line to determine whether his portfolios are undervalued or overvalued. Portfolio X's beta is 0.9 and Portfolio Y's beta is 1.1.

 The expected return on the market is 12% and the risk-free rate is 5%. Smith should sell:",C,M,Numerical,Single Choice,Portfolio Management,"Portfolio X's required return is 0.05 + 0.9 × (0.12-0.05) = 11.3%. It is expected to return 13%. The portfolio has an expected excess return of 1.7%. Portfolio Y's required return is 0.05 + 1.1 × (0.12-0.05) = 12.7%. It is expected to return 14%. The portfolio has an expected
 excess return of 1.3%.
 Since both portfolios are undervalued, the investor should sell the portfolio that offers less excess return. Sell Portfolio Y because
 its excess return is less than that of Portfolio X."
a),either portfolio X or Y because they are both properly valued.,,,,,,
b),both portfolios X and Y because they are both overvalued.,,,,,,
c),portfolio Y only.,,,,,,
d),None of these,,,,,,
,,,,,,,
27,Which of the following statements about portfolio management is most accurate?,B,E,Theory,Single Choice,Portfolio Management,"Combining the CML (risk-free rate and efficient frontier) with an investor's indifference curve map separates out the decision to invest from what to invest in and is called the separation theorem. The investment selection process is thus simplified from stock picking to efficient portfolio construction through diversification. The other statements are false. As an investor diversifies away the unsystematic portion of risk, the correlation between his portfolio return and that of the market approaches positive one. (Remember that the market portfolio has no unsystematic risk). The SML measures
 systematic risk, or beta risk"
a),The security market line (SML) measures systematic and unsystematic risk versus expected return; the CML measures total risk.,,,,,,
b),Combining the capital market line (CML) (risk-free rate and efficient frontier) with an investor's indifference curve map separates out the decision to invest from the decision of what to invest in.,,,,,,
c),"As an investor diversifies away the unsystematic portion of risk, the correlation between his portfolio return and that of the market approaches negative one",,,,,,
d),None of these,,,,,,
,,,,,,,
28,"An investor believes Stock M will rise from a current price of $20 per share to a price of $26 per share over the next year. The
 company is not expected to pay a dividend. The following information pertains:
 R = 8%
 ER = 16%
 Beta = 1.7
 Should the investor purchase the stock?",B,M,Numerical,Single Choice,Portfolio Management,"ER = (26 − 20) / 20 = 0.30 or 30%, RR = 8 + (16 − 8) × 1.7 = 21.6%. The stock is underpriced therefore purchase."
a),"No, because it is overvalued.",,,,,,
b),"Yes, because it is undervalued.",,,,,,
c),"No, because it is undervalued",,,,,,
d),None of these,,,,,,
,,,,,,,
